epoch,loss,val_loss
0,4.8685150146484375,4.297919273376465
1,3.919584035873413,3.6494452953338623
2,3.482388496398926,3.3929741382598877
3,3.2779629230499268,3.22590708732605
4,3.1281871795654297,3.068885564804077
5,3.0037784576416016,2.9894752502441406
6,2.9051382541656494,2.882807731628418
7,2.8291256427764893,2.8354899883270264
8,2.78044056892395,2.7847259044647217
9,2.7393062114715576,2.7442736625671387
10,2.702291488647461,2.7181506156921387
11,2.6721584796905518,2.6877236366271973
12,2.6457762718200684,2.664217472076416
13,2.622051954269409,2.6476781368255615
14,2.5943615436553955,2.6078686714172363
15,2.5641300678253174,2.587703227996826
16,2.548125982284546,2.5752387046813965
17,2.5340116024017334,2.557396411895752
18,2.5189661979675293,2.5544309616088867
19,2.50909686088562,2.539857864379883
20,2.4979748725891113,2.5281546115875244
21,2.4882020950317383,2.5262093544006348
22,2.481395721435547,2.5139777660369873
23,2.4723522663116455,2.508857488632202
24,2.466005563735962,2.5125107765197754
25,2.457850456237793,2.4928925037384033
26,2.4536666870117188,2.4813485145568848
27,2.4459805488586426,2.4814453125
28,2.440659761428833,2.4830543994903564
29,2.4368951320648193,2.4732954502105713
30,2.430718421936035,2.479330539703369
31,2.4302258491516113,2.4755749702453613
32,2.421130657196045,2.46368670463562
33,2.4181039333343506,2.461996078491211
34,2.4054698944091797,2.4396698474884033
35,2.381999969482422,2.418163537979126
36,2.368722915649414,2.407547950744629
37,2.3616392612457275,2.3992726802825928
38,2.359860420227051,2.403982400894165
39,2.3531947135925293,2.3924639225006104
40,2.350414991378784,2.3928678035736084
41,2.3458025455474854,2.399458885192871
42,2.343254566192627,2.3881373405456543
43,2.3423359394073486,2.3864471912384033
44,2.3389854431152344,2.3819634914398193
45,2.333547830581665,2.3852603435516357
46,2.33483624458313,2.3829312324523926
47,2.332972288131714,2.3787848949432373
48,2.3286194801330566,2.3810231685638428
49,2.326555013656616,2.373276710510254
50,2.322892427444458,2.374674081802368
51,2.320988178253174,2.375936508178711
52,2.32002592086792,2.3724145889282227
53,2.3176076412200928,2.3678061962127686
54,2.314967632293701,2.3654773235321045
55,2.313434362411499,2.3689305782318115
56,2.3108878135681152,2.3633646965026855
57,2.3098106384277344,2.360027551651001
58,2.3074791431427,2.3610754013061523
59,2.30525279045105,2.35385799407959
60,2.3058090209960938,2.3664255142211914
61,2.3031845092773438,2.3591842651367188
62,2.3010716438293457,2.354043960571289
63,2.2958781719207764,2.339478015899658
64,2.285270929336548,2.3394615650177
65,2.280653953552246,2.3362298011779785
66,2.2770235538482666,2.334887742996216
67,2.2752809524536133,2.3303744792938232
68,2.2728755474090576,2.326111078262329
69,2.2699756622314453,2.328213930130005
70,2.269649028778076,2.3268773555755615
71,2.2677559852600098,2.319962739944458
72,2.2662601470947266,2.324038028717041
73,2.2644104957580566,2.324045419692993
74,2.265063524246216,2.3215980529785156
75,2.2625553607940674,2.3214402198791504
76,2.2604076862335205,2.3211474418640137
77,2.260148048400879,2.330333948135376
78,2.2593162059783936,2.3198437690734863
79,2.258273124694824,2.317786931991577
80,2.2574679851531982,2.3127834796905518
81,2.2551262378692627,2.315078020095825
82,2.2543656826019287,2.31246280670166
83,2.2535958290100098,2.3117494583129883
84,2.2531826496124268,2.313225746154785
85,2.2526938915252686,2.3096842765808105
86,2.2495405673980713,2.3103179931640625
87,2.2499356269836426,2.3091468811035156
88,2.2488479614257812,2.315751075744629
89,2.2474749088287354,2.3093886375427246
90,2.247622013092041,2.311237096786499
91,2.245940685272217,2.311018228530884
92,2.2435402870178223,2.307467222213745
93,2.244546890258789,2.310105085372925
94,2.2418949604034424,2.3050594329833984
95,2.2427902221679688,2.3061647415161133
96,2.2407383918762207,2.305177927017212
97,2.2416086196899414,2.3098862171173096
98,2.2413530349731445,2.3041656017303467
99,2.2375898361206055,2.302326202392578
